,text,favorite_count,id,retweet_count,created_at,brand,total_activity,compressed_dates2,compressed_dates5
0,Did you get the new cactuar-themed furnishings and Senorita Sabotender minion from the Gold Saucer campaign attenda… https://t.co/LwDmW0K3vH,419,1425158792308674563,68,08/10,FF14,487,08/10,08/10
0,RT @DaysUntilEW: There are 100 days left until Final Fantasy XIV: Endwalker enters early access. Milestone!,0,1425107199773364226,1646,08/10,FF14,1646,08/10,08/10
0,"📣 FINAL REMINDER! 📣

The #FFXIV Make It Rain Campaign ends tomorrow! 💰 https://t.co/4hBEeTi6w6

Claim your Vexed em… https://t.co/hDUxen9GrK",1302,1425079497058000896,298,08/10,FF14,1600,08/10,08/10
0,@85Jsh i would TRUST them with my life........ ha ha......,305,1424759095328968704,8,08/09,FF14,313,08/8,08/10
0,RT @85Jsh: Full Party. https://t.co/rTuyCPaxkW,0,1424756863766302721,3870,08/09,FF14,3870,08/8,08/10
0,"🌱📢 New to #FFXIV on PC?

Welcome to Eorzea! 🤗

You can find the game client download here: https://t.co/4LWonIdIOA… https://t.co/mihl3APgxt",3500,1424694705795727363,638,08/09,FF14,4138,08/8,08/10
0,You sense the presence of a powerful mark... https://t.co/e1JTUQH4gb,5158,1424385168857468930,441,08/08,FF14,5599,08/8,08/10
0,Just Saturday chaos. #FFXIV how's your weekend so far? https://t.co/WItLDfNOND,2266,1424022781931393040,135,08/07,FF14,2401,08/8,08/5
0,"The Moonfire Faire will return to #FFXIV on August 13! ☀️ https://t.co/eCPJzcRvUZ

Keep cool and frosty with decade… https://t.co/R5OUkGOFqf",5390,1423660188981108740,1475,08/06,FF14,6865,08/6,08/5
0,"@vehollehraptor @KaeyiDream angry lalafell gang coming in 3, 2, 1.... 👀",9,1423591010320404482,0,08/06,FF14,9,08/6,08/5
0,RT @FF_XIV_EN: Alphinaud will be joining the party as a Sage in #Endwalker! ✨ https://t.co/KGcfqUTl2K,0,1423317872034598916,7166,08/05,FF14,7166,08/4,08/5
0,@Nihlyria don't expose him like this...!,852,1423273633699479552,23,08/05,FF14,875,08/4,08/5
0,Alphinaud will be joining the party as a Sage in #Endwalker! ✨ https://t.co/KGcfqUTl2K,23889,1423192064628445188,7166,08/05,FF14,31055,08/4,08/5
0,Did you know that #FFXIV Shadowbringers features a NieR crossover called YoRHa: Dark Apocalypse that includes a new… https://t.co/wC8t01HYbS,2320,1423047770970099714,341,08/04,FF14,2661,08/4,08/5
0,"Get a taste of #FFXIV (literally) with the Ultimate FINAL FANTASY XIV Cookbook on sale November 9! 📅

Includes an e… https://t.co/8FP1TyR80b",6774,1422963120968974341,2564,08/04,FF14,9338,08/4,08/5
0,"Don’t forget! The Make It Rain Campaign will conclude in ONE week!

Be sure to take advantage of this chance to ear… https://t.co/bd3vP7SOn2",1158,1422935661452173317,228,08/04,FF14,1386,08/4,08/5
0,"From today and every week until #Endwalker releases, let's all revisit the regions we adventured through! 🗺️

First… https://t.co/9EQXrYyfEP",4113,1422878760588742656,660,08/04,FF14,4773,08/4,08/5
0,Who are they facing off against...? (wrong answers only) https://t.co/nPveYsSBQR,3818,1422573230200553481,262,08/03,FF14,4080,08/4,08/5
0,@xshrimpcake well they asked for it 🤷,36,1422561319371350019,2,08/03,FF14,38,08/4,08/5
0,@xshrimpcake ????? who tried to do that?,56,1422554033143828489,1,08/03,FF14,57,08/4,08/5
0,@xshrimpcake ????? who tried to do that?,56,1422554033143828489,1,08/03,FF14,57,08/4,08/5
0,@ExKage does it though 😏,186,1422204036325986307,0,08/02,FF14,186,08/2,08/0
0,"It's Monday! Let's kick off the week with an important question.

In the Aurum Vale, how many ✨stacks of poison ✨ before you eat the fruit?",1929,1422203532841734145,568,08/02,FF14,2497,08/2,08/0
0,"@JaharaTwitch We've all been there, here this is for you: 💜",238,1421957975879659523,3,08/01,FF14,241,08/0,08/0
0,"@mikomiqo Adorable!
Are the smaller red cookies with the Crystal Exarch... Lyna? 😭",15,1421874113166123015,0,08/01,FF14,15,08/0,08/0
0,new expansion who dis 👀 https://t.co/zlB4pq1Qd2,6424,1421848202509045767,729,08/01,FF14,7153,08/0,08/0
0,"An important message from Naoki Yoshida regarding the Sage job icon updated design.

https://t.co/i2uKDRWMTR https://t.co/CbIXjnqvez",6645,1421048762986811394,1367,07/30,FF14,8012,07/30,07/30
0,@Dreamboum let us know if you need a daily reminder,48,1421046883225587714,3,07/30,FF14,51,07/30,07/30
0,"When your party is down and you're desperately trying to fill that last bar for LB3 😬

Will you also be stepping on… https://t.co/m5fSTZPOl5",4601,1420761469033975811,394,07/29,FF14,4995,07/28,07/30
0,@RubberNinja hey Ross just wanted to check with you if you are ok after eating all these eggs because it was a lot of eggs,3139,1420384422608637958,119,07/28,FF14,3258,07/28,07/30
0,Thanks to everyone who participated in the #FFXIVFanFest Group Pose Screenshot Campaign and Uznair Challenge! 📷✨💎… https://t.co/GoFAdoxAnT,907,1420096835083898880,58,07/27,FF14,965,07/28,07/25
0,"'Tis a fine day to take a stroll around Old Sharlayan. ☀️

(They don't know we'll soon be dancing around their aeth… https://t.co/jzRz2RCXqB",5563,1420036591196672003,849,07/27,FF14,6412,07/28,07/25
